"SalePrice","LotArea","TotalBsmtSF","MoSold","BedroomAbvGr","FullBath","YearBuilt","PavedDrive","MSZoning","LandContour","BldgType","ExterQual","Functional"
181500,9600,1262,5,3,2,1976,"Y","RL","Lvl","1Fam","TA","Typ"
223500,11250,920,9,3,2,2001,"Y","RL","Lvl","1Fam","Gd","Typ"
140000,9550,756,2,3,1,1915,"Y","RL","Lvl","1Fam","TA","Typ"
250000,14260,1145,12,4,2,2000,"Y","RL","Lvl","1Fam","Gd","Typ"
143000,14115,796,10,1,1,1993,"Y","RL","Lvl","1Fam","TA","Typ"
307000,10084,1686,8,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
2e+05,10382,1107,11,3,2,1973,"Y","RL","Lvl","1Fam","TA","Typ"
129900,6120,952,4,2,2,1931,"Y","RM","Lvl","1Fam","TA","Other"
118000,7420,991,1,2,1,1939,"Y","RL","Lvl","2fmCon","TA","Typ"
129500,11200,1040,2,3,1,1965,"Y","RL","Lvl","1Fam","TA","Typ"
144000,12968,912,9,2,1,1962,"Y","RL","Lvl","1Fam","TA","Typ"
90000,10791,0,10,2,2,1967,"Y","RL","Lvl","Duplex","TA","Typ"
139000,7560,1029,5,3,1,1958,"Y","RL","Lvl","1Fam","TA","Other"
325300,14215,1158,11,4,3,2005,"Y","RL","Lvl","1Fam","Gd","Typ"
139400,7449,637,6,3,1,1930,"Other","RM","Bnk","1Fam","TA","Typ"
230000,9742,1777,9,3,2,2002,"Y","RL","Lvl","1Fam","Gd","Typ"
129900,4224,1040,6,3,1,1976,"Y","RM","Lvl","TwnhsE","TA","Typ"
154000,8246,1060,5,3,1,1968,"Y","RL","Lvl","1Fam","TA","Typ"
256300,14230,1566,7,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
134800,7200,900,5,3,1,1951,"Y","RL","Lvl","1Fam","TA","Typ"
306000,11478,1704,5,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
68500,6324,520,5,1,1,1927,"Y","RM","Lvl","1Fam","TA","Typ"
40000,8500,649,7,3,1,1920,"Other","Other","Lvl","1Fam","TA","Typ"
149350,8544,1228,6,3,1,1966,"Y","RL","Lvl","1Fam","TA","Typ"
179900,11049,1234,1,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
165500,10552,1398,4,4,1,1959,"Y","RL","Lvl","1Fam","TA","Typ"
309000,13418,1117,9,4,3,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
145000,10859,1097,6,3,1,1994,"Y","RL","Lvl","1Fam","TA","Typ"
109000,7922,1057,1,3,1,1953,"Y","RL","Lvl","1Fam","TA","Typ"
170000,16905,1350,7,2,1,1959,"Other","RL","Lvl","1Fam","TA","Typ"
144000,9180,840,12,2,1,1983,"Y","RL","Lvl","1Fam","TA","Typ"
130250,9200,938,7,3,1,1975,"Y","RL","Lvl","1Fam","TA","Typ"
319900,7658,1752,2,2,2,2005,"Y","RL","Lvl","TwnhsE","Other","Typ"
239686,12822,1434,8,1,1,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
249700,11096,1656,7,3,2,2006,"Y","Other","Lvl","1Fam","Gd","Typ"
127000,7742,955,1,3,1,1966,"Y","RL","Lvl","1Fam","TA","Typ"
177000,13869,794,7,3,2,1997,"Y","RL","Lvl","1Fam","TA","Typ"
114500,6240,816,9,3,1,1934,"Y","RM","Lvl","1Fam","TA","Typ"
110000,8472,816,5,2,1,1963,"Y","RM","Bnk","Duplex","Other","Typ"
385000,50271,1842,11,0,0,1981,"Y","RL","Low","1Fam","Gd","Typ"
130000,7134,384,2,3,1,1955,"Y","RL","Bnk","1Fam","TA","Other"
172500,2645,970,8,3,2,1999,"Y","Other","Lvl","Twnhs","Gd","Typ"
124900,7200,780,1,2,1,1972,"Y","RL","Bnk","1Fam","TA","Typ"
158000,13072,1158,5,3,1,2004,"Y","RL","Lvl","1Fam","TA","Typ"
101000,7200,530,3,3,1,1920,"Other","RM","Lvl","1Fam","TA","Typ"
202500,6442,1370,10,2,2,2006,"Y","RL","Lvl","TwnhsE","Gd","Typ"
140000,10300,576,4,3,2,1921,"Y","RM","Bnk","1Fam","TA","Typ"
219500,9375,1057,2,3,2,1997,"Y","RL","Lvl","1Fam","TA","Typ"
317000,9591,1143,10,4,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
180000,19900,1947,7,3,2,1970,"Y","RL","Lvl","1Fam","TA","Other"
226000,10665,1453,6,3,2,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
80000,4608,747,6,2,1,1945,"Y","RM","Lvl","1Fam","TA","Typ"
185000,10141,832,12,3,2,1998,"Y","RL","Lvl","1Fam","TA","Typ"
107400,5790,840,5,3,2,1915,"Y","RM","Lvl","1Fam","Gd","Typ"
91000,1596,462,11,2,1,1973,"Y","RM","Lvl","Twnhs","TA","Typ"
135750,8475,952,4,2,1,1956,"Y","RL","Lvl","1Fam","TA","Typ"
110000,10440,440,5,2,1,1910,"Y","RM","Lvl","1Fam","TA","Typ"
193500,13000,896,6,4,2,1968,"Y","RL","Lvl","1Fam","TA","Typ"
153500,4500,1237,3,2,2,1998,"Y","RM","Lvl","TwnhsE","TA","Typ"
245000,10206,1563,10,3,2,2007,"Y","RL","Lvl","1Fam","TA","Typ"
168500,8530,384,5,3,2,1995,"Y","RL","Lvl","1Fam","TA","Typ"
260000,16059,1288,4,4,2,1991,"Y","RL","Lvl","1Fam","Gd","Typ"
164500,3951,612,6,2,2,2009,"Y","Other","Lvl","TwnhsE","Gd","Typ"
109900,7200,0,7,2,1,1950,"Y","RL","Lvl","1Fam","TA","Typ"
98600,8500,1235,12,2,1,1961,"Y","RL","Lvl","1Fam","TA","Typ"
163500,13360,876,8,2,1,1921,"Y","RL","HLS","1Fam","TA","Typ"
204750,9337,824,5,3,2,1997,"Y","RL","Lvl","1Fam","TA","Typ"
185000,9765,680,4,3,2,1993,"Y","RL","Lvl","1Fam","Other","Typ"
94750,10921,960,5,3,1,1965,"Other","RL","HLS","1Fam","TA","Typ"
205000,10603,1610,2,3,2,1977,"Y","RL","Lvl","1Fam","TA","Typ"
198900,10402,1226,5,3,2,2009,"Y","RL","Lvl","1Fam","TA","Typ"
250000,9375,1053,8,3,2,2003,"Y","Other","Lvl","1Fam","Gd","Typ"
1e+05,10800,641,8,2,1,1885,"Other","RM","Lvl","1Fam","TA","Typ"
115000,6000,789,4,2,1,1948,"Y","RM","Lvl","1Fam","TA","Typ"
136900,9525,994,10,4,2,1954,"Y","RL","Lvl","1Fam","TA","Typ"
383970,9965,1264,10,4,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
217000,21000,1809,10,3,2,1953,"Y","RL","Bnk","1Fam","TA","Typ"
259500,7259,1028,7,3,2,1945,"Y","RL","Lvl","1Fam","TA","Typ"
139000,11616,1092,9,3,1,1962,"Y","RL","Lvl","1Fam","TA","Typ"
155000,8536,1125,4,2,1,2006,"Y","RL","Lvl","1Fam","TA","Typ"
320000,12376,1673,5,5,3,1990,"Y","RL","Lvl","1Fam","TA","Typ"
163990,8461,728,7,3,2,2005,"Y","RL","Lvl","1Fam","Gd","Typ"
180000,21453,938,10,1,1,1969,"Y","RL","Low","1Fam","TA","Typ"
1e+05,6060,732,6,3,1,1939,"Other","RM","Lvl","1Fam","TA","Typ"
136000,9464,1080,6,3,1,1958,"Y","RL","Lvl","1Fam","TA","Typ"
153900,7892,1199,3,2,2,1993,"Y","RL","Lvl","TwnhsE","Gd","Typ"
181000,17043,1362,1,3,2,1979,"Y","RL","Lvl","1Fam","TA","Typ"
155000,7590,660,7,3,1,1966,"Y","RL","Lvl","1Fam","TA","Typ"
150000,8973,1008,7,3,1,1958,"Y","RL","Lvl","1Fam","TA","Typ"
226000,14200,924,5,4,2,1966,"Y","RL","Lvl","1Fam","TA","Typ"
244000,12224,992,7,3,2,2000,"Y","RL","Lvl","1Fam","Gd","Typ"
220000,6853,1267,6,2,2,2001,"Y","RL","Lvl","1Fam","Gd","Typ"
180000,10335,1461,7,3,2,1968,"Y","RL","Lvl","1Fam","TA","Other"
143000,10355,1214,7,3,2,1967,"Y","RL","Lvl","1Fam","TA","Typ"
230000,9066,1004,12,3,2,1999,"Y","RL","Lvl","1Fam","Gd","Typ"
231500,15426,928,8,3,2,1997,"Y","RL","Lvl","1Fam","TA","Typ"
260000,11645,1734,1,3,2,2005,"Y","RL","Lvl","1Fam","Gd","Typ"
130000,2522,970,4,3,2,2004,"Y","RM","Lvl","Twnhs","Gd","Other"
222500,9505,884,5,3,2,2001,"Y","RL","Lvl","1Fam","Gd","Typ"
115000,6240,896,4,3,1,1936,"Y","RM","Lvl","1Fam","TA","Typ"
122000,10356,969,1,3,1,1975,"Y","RL","Lvl","1Fam","TA","Typ"
372402,13891,1710,1,2,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
190000,14803,825,6,4,2,1971,"Y","RL","Lvl","1Fam","TA","Typ"
125000,11340,1200,3,4,1,1923,"Y","RM","Lvl","1Fam","TA","Typ"
109500,7200,0,6,2,1,1950,"Y","RL","Lvl","1Fam","TA","Typ"
269500,12003,774,5,4,2,2009,"Y","RL","Lvl","1Fam","Gd","Typ"
254900,12552,991,5,3,2,2004,"Y","Other","Lvl","1Fam","Gd","Typ"
320000,19378,1392,3,4,2,2005,"Y","RL","HLS","1Fam","Gd","Typ"
162500,11120,1232,6,3,2,1984,"Y","RL","Lvl","1Fam","TA","Typ"
412500,13688,1572,3,3,2,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
220000,12182,1541,5,3,2,2005,"Y","RL","Lvl","1Fam","Gd","Typ"
152000,5400,1149,10,3,2,1926,"Y","RM","Lvl","1Fam","TA","Typ"
190000,10708,1617,11,2,1,1955,"Y","RL","Lvl","1Fam","Gd","Typ"
325624,10562,1582,11,3,1,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
228000,16669,1686,1,2,2,1981,"Y","RL","Lvl","1Fam","Gd","Typ"
215000,31770,1080,5,3,1,1960,"Other","RL","Lvl","1Fam","TA","Typ"
163000,10197,1362,6,3,1,1961,"Y","RL","Lvl","1Fam","TA","Typ"
211000,10029,1151,9,4,2,1988,"Y","RL","Lvl","1Fam","Gd","Typ"
172500,13650,1052,7,4,2,1958,"Y","RL","Lvl","1Fam","Gd","Typ"
177000,2117,756,6,3,2,2000,"Y","Other","Lvl","Twnhs","Gd","Typ"
200100,7588,793,7,4,1,1920,"Y","RL","Lvl","1Fam","TA","Typ"
120000,9060,0,6,3,1,1957,"Y","RL","Lvl","1Fam","TA","Typ"
2e+05,11426,1362,6,3,2,2003,"Other","RM","Lvl","1Fam","TA","Other"
127000,7438,504,6,3,1,1908,"Y","RL","Lvl","1Fam","TA","Typ"
475000,22950,1107,6,4,2,1892,"Y","RM","Lvl","1Fam","Gd","Typ"
135000,10410,660,8,3,2,1916,"Other","RL","Lvl","1Fam","TA","Other"
286000,4923,1593,8,0,1,2001,"Y","RL","Lvl","TwnhsE","Gd","Typ"
184000,7472,725,6,4,1,1972,"Y","RL","Lvl","1Fam","TA","Typ"
192000,9017,1431,9,3,2,1999,"Y","RL","Lvl","1Fam","Gd","Typ"
130000,2522,970,5,3,2,2004,"Y","RM","Lvl","Twnhs","Gd","Other"
127000,7180,864,5,3,1,1972,"Y","RL","Lvl","1Fam","TA","Typ"
148500,2280,855,7,3,2,1976,"Y","RL","Lvl","Twnhs","TA","Typ"
311872,9416,1726,9,3,2,2007,"Y","RL","Lvl","1Fam","Other","Typ"
274900,9591,1713,1,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
140000,8546,1121,3,2,2,2003,"Y","RM","Lvl","1Fam","TA","Typ"
112000,7000,617,5,2,2,1924,"Y","RL","Lvl","1Fam","TA","Other"
149000,4438,848,1,1,1,2004,"Y","RM","Lvl","TwnhsE","Gd","Typ"
110000,3500,720,4,2,1,1947,"Y","RM","Lvl","1Fam","TA","Typ"
180500,11851,1424,5,3,2,1990,"Y","RL","Lvl","1Fam","TA","Typ"
143900,13673,1140,3,3,1,1962,"Y","RL","Lvl","1Fam","TA","Other"
141000,12493,1100,4,3,1,1960,"Y","RL","Lvl","1Fam","TA","Typ"
186000,10420,1212,3,3,2,2009,"Y","RL","Lvl","1Fam","TA","Typ"
252678,8640,900,7,3,2,2009,"Y","Other","Lvl","1Fam","TA","Typ"
156000,13568,990,7,3,1,1995,"Y","RL","Lvl","1Fam","TA","Typ"
161750,10900,689,3,3,1,1977,"Y","RL","Lvl","1Fam","TA","Typ"
134450,10011,1070,5,2,1,1957,"Y","RL","Lvl","1Fam","TA","Other"
210000,8450,1436,4,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
107000,9906,686,9,3,1,1925,"Y","RM","Lvl","1Fam","TA","Typ"
311500,15660,798,5,3,1,1939,"Y","RL","Lvl","1Fam","Gd","Typ"
167240,3010,1248,3,2,2,2005,"Y","RL","Lvl","TwnhsE","Gd","Typ"
179900,11475,713,2,3,2,1975,"Y","RL","Lvl","1Fam","TA","Typ"
97000,10500,864,3,2,1,1971,"Y","RL","Lvl","1Fam","TA","Typ"
386250,13472,2392,6,3,2,2003,"Y","RL","Lvl","1Fam","Other","Typ"
290000,9950,1203,6,4,2,1995,"Y","RL","Lvl","1Fam","Gd","Typ"
106000,1869,483,9,2,1,1970,"Y","RM","Lvl","Twnhs","TA","Typ"
125000,8521,912,5,3,1,1967,"Y","RL","Lvl","1Fam","TA","Typ"
192500,3182,1373,5,2,2,2005,"Y","RL","Lvl","TwnhsE","Gd","Typ"
148000,8760,1194,4,3,1,1959,"Y","RL","Lvl","1Fam","TA","Typ"
94500,1680,483,6,2,1,1972,"Y","RM","Lvl","Twnhs","TA","Typ"
128200,10650,894,2,3,1,1976,"Y","RL","Lvl","1Fam","TA","Typ"
89500,1680,483,8,2,1,1971,"Y","RM","Lvl","TwnhsE","TA","Typ"
194500,9453,996,2,3,2,1993,"Y","RL","Lvl","1Fam","Gd","Typ"
318000,12030,1694,12,3,2,2007,"Y","RL","Lvl","1Fam","Other","Typ"
262500,9000,1566,4,3,2,2008,"Y","Other","Lvl","1Fam","Gd","Typ"
120000,10762,626,4,3,1,1980,"Y","RL","Lvl","TwnhsE","TA","Typ"
241500,10400,1845,6,3,2,1988,"Y","RL","Lvl","1Fam","TA","Typ"
137000,9142,1020,4,4,2,1910,"Y","RM","Lvl","2fmCon","TA","Typ"
140000,11310,1367,6,2,1,1954,"Y","RL","Lvl","1Fam","TA","Typ"
180000,11317,840,9,3,2,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
277000,159000,1444,6,4,2,1958,"Y","RL","Low","1Fam","Gd","Typ"
235000,4750,1573,12,2,2,2006,"Y","RM","HLS","TwnhsE","Gd","Typ"
173000,8366,798,12,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
158000,9350,1302,10,3,2,1964,"Y","RL","Lvl","1Fam","TA","Other"
145000,8400,1314,6,3,1,1957,"Y","RL","Lvl","1Fam","TA","Typ"
230000,8738,975,2,4,2,1999,"Y","RL","Lvl","1Fam","Gd","Typ"
231500,12435,963,5,3,2,2001,"Y","RL","Lvl","1Fam","Gd","Typ"
97000,12702,0,12,2,1,1956,"Y","RM","Lvl","1Fam","TA","Typ"
276000,9588,1482,11,3,2,2007,"Y","RL","Lvl","1Fam","Gd","Typ"
151000,8471,506,7,3,1,1977,"Y","RL","Lvl","1Fam","TA","Typ"
73000,5232,680,6,2,1,1925,"Other","RM","Bnk","1Fam","TA","Typ"
175500,12090,1422,6,3,2,1981,"Y","RL","Lvl","1Fam","TA","Typ"
185000,11207,802,6,3,2,1997,"Y","RL","HLS","1Fam","TA","Typ"
179500,8400,720,7,4,2,1939,"Y","RL","Bnk","1Fam","TA","Typ"
148000,7917,1143,5,3,1,1976,"Y","RL","Lvl","1Fam","TA","Typ"
266000,10728,1095,8,3,2,2006,"Y","Other","Lvl","1Fam","Gd","Typ"
241500,39104,1385,4,2,1,1954,"Y","RL","Low","1Fam","TA","Other"
290000,11764,1152,4,4,2,1999,"Y","RL","Lvl","1Fam","Gd","Typ"
139000,9600,1240,4,3,2,1958,"Y","RL","Lvl","1Fam","TA","Other"
205000,7264,952,10,3,2,1925,"Y","RL","Lvl","1Fam","Gd","Typ"
201000,9196,1560,4,3,2,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
141000,19138,864,6,2,1,1951,"Y","RL","Lvl","1Fam","TA","Typ"
415298,14450,2121,5,3,2,2006,"Y","RL","Lvl","1Fam","Other","Typ"
192000,10005,1160,3,4,2,1977,"Y","RL","Lvl","1Fam","TA","Typ"
228500,11287,807,1,3,2,1989,"Y","RL","Lvl","1Fam","Gd","Typ"
185000,7200,1262,5,2,2,2006,"Y","Other","Lvl","1Fam","Gd","Typ"
207500,5063,1314,4,2,2,2007,"Y","RL","Lvl","Twnhs","Gd","Typ"
244600,9612,1468,12,3,2,2008,"Y","RL","Lvl","1Fam","Gd","Typ"
179200,8012,1575,7,2,2,1992,"Y","RL","Lvl","TwnhsE","Gd","Typ"
159000,9786,912,6,3,1,1962,"Y","RL","Bnk","1Fam","TA","Typ"
122000,9819,882,2,3,1,1967,"Y","RL","Lvl","1Fam","TA","Typ"
153575,8730,698,7,3,1,1915,"Y","RL","Lvl","1Fam","TA","Typ"
233230,15611,1079,7,3,2,2006,"Y","RL","Lvl","1Fam","Gd","Typ"
131000,11409,768,1,3,1,1949,"Y","RL","Lvl","1Fam","TA","Other"
235000,16659,795,3,3,2,1977,"Y","RL","Lvl","1Fam","TA","Typ"
167000,9600,1416,10,3,1,1953,"Y","RL","Lvl","1Fam","TA","Typ"
239000,7399,975,6,3,2,1997,"Y","Other","Lvl","1Fam","Gd","Typ"
158500,14000,1092,8,3,1,1950,"Y","RL","Lvl","1Fam","TA","Typ"
157000,15750,1165,6,2,1,1953,"Y","RL","Lvl","2fmCon","TA","Typ"
149900,9800,894,7,3,1,1972,"Y","RL","Lvl","1Fam","TA","Typ"
295000,18386,1470,5,3,3,1880,"Y","RM","Lvl","1Fam","TA","Typ"
225000,13474,700,6,4,2,1990,"Y","RL","Lvl","1Fam","Gd","Typ"
165600,7685,697,5,3,2,1993,"Y","RL","Lvl","1Fam","TA","Typ"
132000,8000,972,5,2,1,1948,"Y","RL","Lvl","1Fam","TA","Typ"
119900,7800,793,5,3,1,1939,"Y","RM","Lvl","2fmCon","TA","Typ"
178000,9600,728,8,3,1,1925,"Y","RM","Lvl","1Fam","TA","Typ"
188500,7795,716,7,3,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
260000,13005,845,8,4,2,1980,"Y","RL","Lvl","1Fam","Gd","Typ"
342643,16259,1249,9,4,3,2006,"Y","RL","Lvl","1Fam","TA","Typ"
354000,12099,1136,6,4,2,2004,"Y","RL","Lvl","1Fam","Gd","Typ"
301000,10380,1502,8,4,2,1986,"Y","RL","Lvl","1Fam","Gd","Typ"
126175,5820,1162,7,3,1,1955,"Y","RM","Lvl","1Fam","TA","Typ"
87000,5000,720,12,2,1,1941,"Y","RM","Lvl","1Fam","TA","Typ"
145250,11600,1383,4,3,1,1960,"Y","RL","Lvl","1Fam","TA","Typ"
78000,6402,596,7,3,1,1920,"Other","RM","Lvl","1Fam","TA","Typ"
119000,10624,1728,11,6,2,1964,"Y","RL","Lvl","Duplex","TA","Typ"
139000,8176,1056,8,3,1,1958,"Y","RL","Lvl","1Fam","TA","Typ"
284000,10655,3206,10,3,2,2003,"Y","RL","Lvl","1Fam","Gd","Typ"
207000,8198,1358,7,2,2,2004,"Y","RM","Lvl","TwnhsE","Gd","Typ"
228950,164660,1499,8,3,2,1965,"Y","RL","HLS","2fmCon","TA","Typ"
377426,14157,1922,7,3,2,2005,"Y","RL","HLS","1Fam","Gd","Typ"
214000,9135,1536,12,3,2,2002,"Y","RL","Lvl","1Fam","Gd","Typ"
155000,12400,1215,6,3,1,1958,"Y","RL","Lvl","1Fam","TA","Typ"
202900,14191,967,4,4,2,2002,"Y","RL","Lvl","1Fam","Gd","Typ"
82000,8400,721,9,2,1,1950,"Other","Other","Lvl","1Fam","Other","Typ"
87500,8544,0,5,2,2,1949,"Y","RL","Lvl","Duplex","TA","Typ"
266000,8849,1684,7,2,2,2005,"Y","RL","Lvl","TwnhsE","Other","Typ"
85000,2592,536,4,3,1,1976,"Y","RM","Lvl","TwnhsE","TA","Typ"
140200,6435,972,10,3,1,1939,"Y","RL","Lvl","1Fam","TA","Typ"
151500,12772,958,4,2,1,1960,"Y","RL","Lvl","1Fam","TA","Typ"
154000,2448,764,10,2,2,2003,"Y","RL","Lvl","Twnhs","Gd","Typ"
437154,20431,1848,4,4,2,2005,"Y","RL","Lvl","1Fam","Other","Typ"
318061,7820,1869,12,2,2,2007,"Y","RL","Lvl","TwnhsE","Other","Typ"
190000,5271,1453,12,2,1,1986,"Y","RL","Low","1Fam","TA","Typ"
105900,8520,624,5,2,1,1928,"Y","RM","Lvl","1Fam","TA","Typ"
140000,8400,940,6,2,1,1940,"Y","RL","Bnk","1Fam","TA","Typ"
177500,11249,1200,8,3,2,1995,"Y","RL","Lvl","1Fam","Gd","Typ"
173000,9248,1158,7,3,2,1992,"Y","RL","Lvl","1Fam","TA","Typ"
134000,4224,1142,8,3,1,1976,"Y","RM","Lvl","TwnhsE","TA","Typ"
